yearID,teamID,playerID,first,last,games
2022,WAS,escobal02,2022-04-07,2022-07-16,42
2022,NYN,escobed01,2022-04-07,2022-10-04,136
2022,CHN,espinan01,2022-05-30,2022-08-23,7
2022,WAS,espinpa01,2022-04-08,2022-10-04,42
2022,CIN,espinra01,2022-09-13,2022-09-16,2
2022,TOR,espinsa01,2022-04-08,2022-09-21,135
2022,COL,estevca01,2022-04-09,2022-09-23,62
2022,CHN,estraje01,2022-08-30,2022-09-19,5
2022,SFN,estrath01,2022-04-08,2022-10-04,140
2022,DET,faedoal01,2022-05-04,2022-07-11,12
2022,TBA,fairbpe01,2022-07-17,2022-09-28,24
2022,SEA,faircst01,2022-05-04,2022-05-09,3
2022,SFN,faircst01,2022-05-23,2022-05-31,5
2022,CIN,faircst01,2022-07-12,2022-10-05,38
2022,PHI,falteba01,2022-04-10,2022-10-05,20
2022,PHI,familje01,2022-04-08,2022-07-31,38
2022,BOS,familje01,2022-08-17,2022-09-13,10
2022,CIN,farmebu01,2022-04-08,2022-10-04,44
2022,CIN,farmeky01,2022-04-07,2022-10-05,145
2022,CHN,farrelu01,2022-08-24,2022-09-03,4
2022,CIN,farrelu01,2022-09-11,2022-09-14,2
2022,TBA,fauchca01,2022-05-09,2022-09-28,22
2022,WAS,feddeer01,2022-04-10,2022-10-05,27
2022,BOS,felizmi01,2022-07-08,2022-07-08,1
2022,MIL,felicma01,2022-08-14,2022-08-17,2
2022,COL,feltnry01,2022-04-27,2022-10-04,20
2022,LAN,ferguca01,2022-05-16,2022-10-05,37
2022,KCA,fermifr01,2022-07-15,2022-07-17,3
2022,SLN,fernaju01,2022-05-24,2022-07-26,13
2022,PIT,fernaju01,2022-10-01,2022-10-05,3
2022,SEA,festama01,2022-04-10,2022-10-04,53
